Model,Dealer Group,Year,Month,Week,Forecast,Sellout
Product 5,Dealer Group 5,2016,1,4,,0
Product 6,Dealer Group 5,2016,1,4,,0
Product 6,Dealer Group 2,2016,1,4,,1872
Product 5,Dealer Group 6,2016,1,4,,122
Product 2,Dealer Group 8,2016,1,4,,0
Product 5,Dealer Group 7,2016,1,4,,2405
Product 6,Dealer Group 8,2016,1,4,,6610
Product 2,Dealer Group 7,2016,1,4,,0
Product 6,Dealer Group 7,2016,1,4,,1279
Product 5,Dealer Group 1,2016,1,4,,314
Product 3,Dealer Group 7,2016,1,4,,0
Product 6,Dealer Group 4,2016,1,4,,86
Product 5,Dealer Group 8,2016,1,4,,18055
Product 2,Dealer Group 1,2016,1,4,,0
Product 3,Dealer Group 6,2016,1,4,,0
Product 6,Dealer Group 6,2016,1,4,,62
Product 5,Dealer Group 2,2016,1,4,,2375
Product 6,Dealer Group 1,2016,2,5,,1423
Product 2,Dealer Group 6,2016,2,5,,0
Product 5,Dealer Group 1,2016,2,5,,428
Product 6,Dealer Group 6,2016,2,5,,48
Product 6,Dealer Group 4,2016,2,5,,81
Product 5,Dealer Group 5,2016,2,5,,0
Product 3,Dealer Group 6,2016,2,5,,0
Product 6,Dealer Group 7,2016,2,5,,1331
Product 6,Dealer Group 8,2016,2,5,,7301
Product 3,Dealer Group 1,2016,2,5,,59
Product 2,Dealer Group 7,2016,2,5,,0
Product 2,Dealer Group 2,2016,2,5,,0
Product 5,Dealer Group 2,2016,2,5,,2447
Product 5,Dealer Group 7,2016,2,5,,2557
Product 3,Dealer Group 7,2016,2,5,,0
Product 5,Dealer Group 4,2016,2,5,,121
Product 3,Dealer Group 2,2016,2,5,,0
Product 6,Dealer Group 2,2016,2,5,,1624
Product 2,Dealer Group 8,2016,2,5,,187
Product 6,Dealer Group 5,2016,2,5,,0
Product 3,Dealer Group 8,2016,2,5,,184
Product 5,Dealer Group 6,2016,2,5,,160
Product 5,Dealer Group 8,2016,2,5,,22025
Product 2,Dealer Group 1,2016,2,5,,53
Product 3,Dealer Group 7,2016,2,6,,0
Product 2,Dealer Group 2,2016,2,6,,291
Product 3,Dealer Group 4,2016,2,6,,0
Product 6,Dealer Group 2,2016,2,6,,1996
Product 6,Dealer Group 1,2016,2,6,,1378
Product 5,Dealer Group 4,2016,2,6,,124
Product 2,Dealer Group 7,2016,2,6,,0
Product 6,Dealer Group 7,2016,2,6,,1428
Product 3,Dealer Group 8,2016,2,6,,3085
Product 5,Dealer Group 6,2016,2,6,,171
Product 3,Dealer Group 2,2016,2,6,,335
Product 2,Dealer Group 1,2016,2,6,,81
Product 5,Dealer Group 2,2016,2,6,,2430
Product 6,Dealer Group 8,2016,2,6,,9067
Product 6,Dealer Group 6,2016,2,6,,67
Product 5,Dealer Group 7,2016,2,6,,2751
Product 5,Dealer Group 1,2016,2,6,,385
Product 2,Dealer Group 6,2016,2,6,,0
Product 2,Dealer Group 8,2016,2,6,,2572
Product 3,Dealer Group 6,2016,2,6,,0
Product 3,Dealer Group 1,2016,2,6,,269
Product 5,Dealer Group 5,2016,2,6,,0
Product 6,Dealer Group 5,2016,2,6,,0
Product 2,Dealer Group 4,2016,2,6,,0
Product 5,Dealer Group 8,2016,2,6,,31348
Product 6,Dealer Group 4,2016,2,6,,97
Product 6,Dealer Group 2,2016,2,7,,2331
Product 2,Dealer Group 6,2016,2,7,,0
Product 4,Dealer Group 2,2016,2,7,,0
Product 4,Dealer Group 1,2016,2,7,,0
Product 5,Dealer Group 5,2016,2,7,,0
Product 6,Dealer Group 6,2016,2,7,,72
Product 2,Dealer Group 7,2016,2,7,,0
Product 3,Dealer Group 7,2016,2,7,,0
Product 2,Dealer Group 1,2016,2,7,,175
Product 6,Dealer Group 4,2016,2,7,,83
Product 3,Dealer Group 6,2016,2,7,,0
Product 6,Dealer Group 8,2016,2,7,,10571
Product 5,Dealer Group 7,2016,2,7,,2933
Product 5,Dealer Group 1,2016,2,7,,27
Product 2,Dealer Group 2,2016,2,7,,614
Product 5,Dealer Group 2,2016,2,7,,2721
Product 6,Dealer Group 7,2016,2,7,,1470
Product 6,Dealer Group 1,2016,2,7,,464
Product 6,Dealer Group 5,2016,2,7,,0
Product 5,Dealer Group 6,2016,2,7,,223
Product 3,Dealer Group 1,2016,2,7,,881
Product 3,Dealer Group 4,2016,2,7,,0
Product 2,Dealer Group 8,2016,2,7,,3442
Product 3,Dealer Group 2,2016,2,7,,740
Product 3,Dealer Group 8,2016,2,7,,4360
Product 2,Dealer Group 4,2016,2,7,,0
Product 5,Dealer Group 4,2016,2,7,,114
Product 5,Dealer Group 8,2016,2,7,,38239
Product 4,Dealer Group 1,2016,2,8,,0
Product 3,Dealer Group 1,2016,2,8,,1453
Product 2,Dealer Group 2,2016,2,8,,1273
Product 2,Dealer Group 7,2016,2,8,,0
Product 2,Dealer Group 4,2016,2,8,,0
Product 4,Dealer Group 6,2016,2,8,,0
Product 6,Dealer Group 7,2016,2,8,,1100
Product 3,Dealer Group 4,2016,2,8,,0
Product 2,Dealer Group 8,2016,2,8,,3152
Product 3,Dealer Group 7,2016,2,8,,0
Product 6,Dealer Group 5,2016,2,8,,0
Product 3,Dealer Group 8,2016,2,8,,4180
Product 6,Dealer Group 6,2016,2,8,,53
Product 6,Dealer Group 2,2016,2,8,,2177
Product 5,Dealer Group 4,2016,2,8,,99
Product 3,Dealer Group 2,2016,2,8,,1253
Product 5,Dealer Group 8,2016,2,8,,34826
Product 5,Dealer Group 1,2016,2,8,,231
Product 4,Dealer Group 2,2016,2,8,,0
Product 2,Dealer Group 6,2016,2,8,,0
Product 5,Dealer Group 6,2016,2,8,,155
Product 5,Dealer Group 7,2016,2,8,,1934
Product 4,Dealer Group 8,2016,2,8,,0
Product 3,Dealer Group 6,2016,2,8,,0
Product 6,Dealer Group 4,2016,2,8,,85
Product 2,Dealer Group 1,2016,2,8,,156
Product 6,Dealer Group 1,2016,2,8,,1217
Product 5,Dealer Group 5,2016,2,8,,0
Product 4,Dealer Group 7,2016,2,8,,0
Product 5,Dealer Group 2,2016,2,8,,2520
Product 6,Dealer Group 8,2016,2,8,,9877
Product 5,Dealer Group 1,2016,2,9,,342
Product 4,Dealer Group 8,2016,2,9,,0
Product 5,Dealer Group 5,2016,2,9,,0
Product 2,Dealer Group 8,2016,2,9,,3133
Product 5,Dealer Group 4,2016,2,9,,103
Product 6,Dealer Group 4,2016,2,9,,84
Product 2,Dealer Group 7,2016,2,9,,0
Product 2,Dealer Group 2,2016,2,9,,1196
Product 5,Dealer Group 7,2016,2,9,,2102
Product 3,Dealer Group 6,2016,2,9,,9
Product 2,Dealer Group 6,2016,2,9,,3
Product 3,Dealer Group 2,2016,2,9,,1453
Product 2,Dealer Group 1,2016,2,9,,260
Product 4,Dealer Group 2,2016,2,9,,0
Product 6,Dealer Group 1,2016,2,9,,1674
Product 4,Dealer Group 4,2016,2,9,,0
Product 3,Dealer Group 4,2016,2,9,,0
Product 3,Dealer Group 8,2016,2,9,,4314
Product 5,Dealer Group 8,2016,2,9,,27656
Product 2,Dealer Group 4,2016,2,9,,0
Product 6,Dealer Group 6,2016,2,9,,47
Product 6,Dealer Group 7,2016,2,9,,1159
Product 4,Dealer Group 1,2016,2,9,,4
Product 6,Dealer Group 2,2016,2,9,,1695
Product 4,Dealer Group 6,2016,2,9,,0
Product 5,Dealer Group 6,2016,2,9,,115
Product 6,Dealer Group 8,2016,2,9,,8775
Product 3,Dealer Group 7,2016,2,9,,0
Product 5,Dealer Group 2,2016,2,9,,2237
Product 6,Dealer Group 5,2016,2,9,,0
Product 3,Dealer Group 1,2016,2,9,,1406
Product 4,Dealer Group 7,2016,2,9,,0
Product 3,Dealer Group 6,2016,3,10,,14
Product 2,Dealer Group 8,2016,3,10,,3192
Product 3,Dealer Group 2,2016,3,10,,1815
Product 5,Dealer Group 6,2016,3,10,,170
Product 5,Dealer Group 8,2016,3,10,,21249
Product 4,Dealer Group 4,2016,3,10,,0
Product 3,Dealer Group 8,2016,3,10,,3862
Product 4,Dealer Group 1,2016,3,10,,14
Product 6,Dealer Group 1,2016,3,10,,718
Product 1,Dealer Group 1,2016,3,10,,0
Product 3,Dealer Group 4,2016,3,10,,0
Product 6,Dealer Group 2,2016,3,10,,2351
Product 6,Dealer Group 4,2016,3,10,,84
Product 4,Dealer Group 8,2016,3,10,,0
Product 5,Dealer Group 1,2016,3,10,,815
Product 2,Dealer Group 4,2016,3,10,,0
Product 4,Dealer Group 6,2016,3,10,,0
Product 4,Dealer Group 2,2016,3,10,,0
Product 5,Dealer Group 2,2016,3,10,,2212
Product 5,Dealer Group 4,2016,3,10,,105
Product 2,Dealer Group 6,2016,3,10,,16
Product 3,Dealer Group 1,2016,3,10,,1282
Product 5,Dealer Group 5,2016,3,10,,0
Product 4,Dealer Group 7,2016,3,10,,0
Product 5,Dealer Group 7,2016,3,10,,2022
Product 2,Dealer Group 7,2016,3,10,,0
Product 3,Dealer Group 7,2016,3,10,,0
Product 6,Dealer Group 7,2016,3,10,,1160
Product 6,Dealer Group 8,2016,3,10,,7681
Product 2,Dealer Group 2,2016,3,10,,1223
Product 6,Dealer Group 5,2016,3,10,,0
Product 6,Dealer Group 6,2016,3,10,,81
Product 2,Dealer Group 1,2016,3,10,,280
Product 5,Dealer Group 7,2016,3,11,,2604
Product 6,Dealer Group 5,2016,3,11,,0
Product 6,Dealer Group 8,2016,3,11,,7294
Product 1,Dealer Group 1,2016,3,11,,0
Product 5,Dealer Group 5,2016,3,11,,0
Product 6,Dealer Group 1,2016,3,11,,16
Product 4,Dealer Group 4,2016,3,11,,0
Product 5,Dealer Group 6,2016,3,11,,143
Product 3,Dealer Group 4,2016,3,11,,1
Product 5,Dealer Group 1,2016,3,11,,1261
Product 3,Dealer Group 8,2016,3,11,,3650
Product 2,Dealer Group 2,2016,3,11,,1649
Product 4,Dealer Group 7,2016,3,11,,0
Product 4,Dealer Group 1,2016,3,11,,14
Product 2,Dealer Group 6,2016,3,11,,58
Product 3,Dealer Group 7,2016,3,11,,0
Product 6,Dealer Group 7,2016,3,11,,1383
Product 3,Dealer Group 1,2016,3,11,,1171
Product 4,Dealer Group 2,2016,3,11,,2
Product 6,Dealer Group 2,2016,3,11,,1826
Product 2,Dealer Group 4,2016,3,11,,4
Product 3,Dealer Group 6,2016,3,11,,39
Product 5,Dealer Group 2,2016,3,11,,2268
Product 4,Dealer Group 6,2016,3,11,,1
Product 6,Dealer Group 6,2016,3,11,,80
Product 3,Dealer Group 2,2016,3,11,,2288
Product 5,Dealer Group 4,2016,3,11,,125
Product 6,Dealer Group 4,2016,3,11,,93
Product 5,Dealer Group 8,2016,3,11,,20079
Product 2,Dealer Group 1,2016,3,11,,394
Product 2,Dealer Group 8,2016,3,11,,3135
Product 2,Dealer Group 7,2016,3,11,,0
Product 4,Dealer Group 8,2016,3,11,,0
Product 5,Dealer Group 6,2016,3,12,,123
Product 3,Dealer Group 4,2016,3,12,,0
Product 3,Dealer Group 2,2016,3,12,,2273
Product 6,Dealer Group 5,2016,3,12,,0
Product 6,Dealer Group 2,2016,3,12,,1985
Product 2,Dealer Group 2,2016,3,12,,1724
Product 6,Dealer Group 8,2016,3,12,,7315
Product 2,Dealer Group 1,2016,3,12,,433
Product 4,Dealer Group 4,2016,3,12,,0
Product 5,Dealer Group 8,2016,3,12,,19593
Product 5,Dealer Group 4,2016,3,12,,130
Product 3,Dealer Group 6,2016,3,12,,72
Product 6,Dealer Group 7,2016,3,12,,1481
Product 2,Dealer Group 4,2016,3,12,,5
Product 3,Dealer Group 1,2016,3,12,,1596
Product 5,Dealer Group 5,2016,3,12,,0
Product 4,Dealer Group 6,2016,3,12,,17
Product 3,Dealer Group 8,2016,3,12,,3937
Product 6,Dealer Group 6,2016,3,12,,34
Product 4,Dealer Group 2,2016,3,12,,11
Product 5,Dealer Group 2,2016,3,12,,2195
Product 2,Dealer Group 8,2016,3,12,,3407
Product 5,Dealer Group 7,2016,3,12,,2473
Product 4,Dealer Group 8,2016,3,12,,0
Product 4,Dealer Group 7,2016,3,12,,0
Product 1,Dealer Group 1,2016,3,12,,0
Product 2,Dealer Group 7,2016,3,12,,0
Product 5,Dealer Group 1,2016,3,12,,1396
Product 3,Dealer Group 7,2016,3,12,,0
Product 4,Dealer Group 1,2016,3,12,,3
Product 6,Dealer Group 4,2016,3,12,,82
Product 2,Dealer Group 6,2016,3,12,,70
Product 6,Dealer Group 1,2016,3,12,,0
Product 6,Dealer Group 5,2016,3,13,,0
Product 2,Dealer Group 7,2016,3,13,,0
Product 5,Dealer Group 1,2016,3,13,,1127
Product 5,Dealer Group 8,2016,3,13,,18429
Product 3,Dealer Group 4,2016,3,13,,28
Product 5,Dealer Group 5,2016,3,13,,0
Product 5,Dealer Group 7,2016,3,13,,2018
Product 1,Dealer Group 1,2016,3,13,,0
Product 6,Dealer Group 1,2016,3,13,,0
Product 6,Dealer Group 4,2016,3,13,,98
Product 2,Dealer Group 4,2016,3,13,,29
Product 4,Dealer Group 7,2016,3,13,,0
Product 3,Dealer Group 8,2016,3,13,,3848
Product 5,Dealer Group 2,2016,3,13,,1622
Product 3,Dealer Group 6,2016,3,13,,105
Product 5,Dealer Group 6,2016,3,13,,110
Product 5,Dealer Group 4,2016,3,13,,137
Product 6,Dealer Group 8,2016,3,13,,6824
Product 2,Dealer Group 2,2016,3,13,,1722
Product 2,Dealer Group 8,2016,3,13,,3334
Product 3,Dealer Group 2,2016,3,13,,2026
Product 2,Dealer Group 1,2016,3,13,,424
Product 3,Dealer Group 1,2016,3,13,,1758
Product 6,Dealer Group 7,2016,3,13,,1098
Product 4,Dealer Group 8,2016,3,13,,0
Product 6,Dealer Group 6,2016,3,13,,45
Product 3,Dealer Group 7,2016,3,13,,0
Product 4,Dealer Group 1,2016,3,13,,0
Product 2,Dealer Group 6,2016,3,13,,141
Product 4,Dealer Group 2,2016,3,13,,9
Product 4,Dealer Group 4,2016,3,13,,0
Product 4,Dealer Group 6,2016,3,13,,22
Product 6,Dealer Group 2,2016,3,13,,1491
Product 2,Dealer Group 1,2016,4,14,,510
Product 5,Dealer Group 2,2016,4,14,,1871
Product 3,Dealer Group 4,2016,4,14,,32
Product 5,Dealer Group 7,2016,4,14,,2367
Product 4,Dealer Group 7,2016,4,14,,0
Product 6,Dealer Group 1,2016,4,14,,0
Product 5,Dealer Group 6,2016,4,14,,114
Product 6,Dealer Group 5,2016,4,14,,0
Product 4,Dealer Group 1,2016,4,14,,63
Product 2,Dealer Group 6,2016,4,14,,186
Product 3,Dealer Group 2,2016,4,14,,3300
Product 6,Dealer Group 2,2016,4,14,,1623
Product 4,Dealer Group 6,2016,4,14,,26
Product 2,Dealer Group 7,2016,4,14,,0
Product 5,Dealer Group 8,2016,4,14,,18697
Product 5,Dealer Group 5,2016,4,14,,0
Product 6,Dealer Group 4,2016,4,14,,98
Product 3,Dealer Group 8,2016,4,14,,4100
Product 3,Dealer Group 6,2016,4,14,,232
Product 3,Dealer Group 7,2016,4,14,,0
Product 2,Dealer Group 2,2016,4,14,,2939
Product 6,Dealer Group 8,2016,4,14,,6816
Product 1,Dealer Group 1,2016,4,14,,0
Product 3,Dealer Group 1,2016,4,14,,1979
Product 4,Dealer Group 2,2016,4,14,,11
Product 4,Dealer Group 4,2016,4,14,,0
Product 5,Dealer Group 4,2016,4,14,,129
Product 5,Dealer Group 1,2016,4,14,,166
Product 2,Dealer Group 8,2016,4,14,,3398
Product 2,Dealer Group 4,2016,4,14,,29
Product 6,Dealer Group 7,2016,4,14,,1350
Product 4,Dealer Group 8,2016,4,14,,4
Product 6,Dealer Group 6,2016,4,14,,47
Product 3,Dealer Group 4,2016,4,15,,31
Product 4,Dealer Group 6,2016,4,15,,27
Product 5,Dealer Group 8,2016,4,15,,18260
Product 4,Dealer Group 7,2016,4,15,,0
Product 4,Dealer Group 4,2016,4,15,,2
Product 1,Dealer Group 1,2016,4,15,,0
Product 6,Dealer Group 8,2016,4,15,,6817
Product 6,Dealer Group 4,2016,4,15,,85
Product 5,Dealer Group 5,2016,4,15,,0
Product 5,Dealer Group 6,2016,4,15,,137
Product 6,Dealer Group 6,2016,4,15,,38
Product 5,Dealer Group 2,2016,4,15,,2080
Product 6,Dealer Group 2,2016,4,15,,2169
Product 2,Dealer Group 7,2016,4,15,,2224
Product 3,Dealer Group 8,2016,4,15,,3860
Product 5,Dealer Group 7,2016,4,15,,2072
Product 4,Dealer Group 8,2016,4,15,,10
Product 6,Dealer Group 5,2016,4,15,,0
Product 4,Dealer Group 2,2016,4,15,,14
Product 6,Dealer Group 1,2016,4,15,,0
Product 3,Dealer Group 2,2016,4,15,,2702
Product 2,Dealer Group 8,2016,4,15,,3291
Product 4,Dealer Group 1,2016,4,15,,101
Product 3,Dealer Group 1,2016,4,15,,1582
Product 5,Dealer Group 4,2016,4,15,,109
Product 2,Dealer Group 1,2016,4,15,,355
Product 2,Dealer Group 4,2016,4,15,,7
Product 6,Dealer Group 7,2016,4,15,,1226
Product 2,Dealer Group 6,2016,4,15,,105
Product 2,Dealer Group 2,2016,4,15,,2324
Product 3,Dealer Group 6,2016,4,15,,118
Product 5,Dealer Group 1,2016,4,15,,16
Product 3,Dealer Group 7,2016,4,15,,789
Product 2,Dealer Group 4,2016,4,16,,5
Product 3,Dealer Group 7,2016,4,16,,1366
Product 2,Dealer Group 7,2016,4,16,,1334
Product 2,Dealer Group 2,2016,4,16,,2381
Product 5,Dealer Group 7,2016,4,16,,2027
Product 6,Dealer Group 1,2016,4,16,,0
Product 5,Dealer Group 5,2016,4,16,,0
Product 4,Dealer Group 1,2016,4,16,,96
Product 4,Dealer Group 7,2016,4,16,,0
Product 6,Dealer Group 5,2016,4,16,,0
Product 3,Dealer Group 1,2016,4,16,,1231
Product 5,Dealer Group 4,2016,4,16,,95
Product 4,Dealer Group 4,2016,4,16,,2
Product 4,Dealer Group 8,2016,4,16,,2
Product 3,Dealer Group 4,2016,4,16,,42
Product 1,Dealer Group 1,2016,4,16,,0
Product 6,Dealer Group 4,2016,4,16,,63
Product 6,Dealer Group 6,2016,4,16,,43
Product 4,Dealer Group 2,2016,4,16,,25
Product 3,Dealer Group 8,2016,4,16,,3273
Product 2,Dealer Group 1,2016,4,16,,211
Product 5,Dealer Group 2,2016,4,16,,1846
Product 3,Dealer Group 6,2016,4,16,,94
Product 5,Dealer Group 6,2016,4,16,,135
Product 2,Dealer Group 8,2016,4,16,,2886
Product 6,Dealer Group 2,2016,4,16,,1742
Product 2,Dealer Group 6,2016,4,16,,110
Product 6,Dealer Group 7,2016,4,16,,1112
Product 5,Dealer Group 1,2016,4,16,,12
Product 3,Dealer Group 2,2016,4,16,,2465
Product 4,Dealer Group 6,2016,4,16,,61
Product 5,Dealer Group 8,2016,4,16,,17142
Product 6,Dealer Group 8,2016,4,16,,6318
Product 6,Dealer Group 1,2016,4,17,,68
Product 6,Dealer Group 4,2016,4,17,,68
Product 3,Dealer Group 6,2016,4,17,,149
Product 5,Dealer Group 6,2016,4,17,,120
Product 2,Dealer Group 4,2016,4,17,,11
Product 5,Dealer Group 4,2016,4,17,,117
Product 5,Dealer Group 1,2016,4,17,,5
Product 2,Dealer Group 2,2016,4,17,,2387
Product 3,Dealer Group 2,2016,4,17,,3026
Product 4,Dealer Group 6,2016,4,17,,60
Product 6,Dealer Group 6,2016,4,17,,54
Product 5,Dealer Group 7,2016,4,17,,2004
Product 6,Dealer Group 8,2016,4,17,,6461
Product 5,Dealer Group 5,2016,4,17,,0
Product 6,Dealer Group 5,2016,4,17,,0
Product 6,Dealer Group 7,2016,4,17,,1092
Product 2,Dealer Group 1,2016,4,17,,274
Product 4,Dealer Group 8,2016,4,17,,2
Product 2,Dealer Group 6,2016,4,17,,171
Product 3,Dealer Group 8,2016,4,17,,3260
Product 3,Dealer Group 1,2016,4,17,,1346
Product 5,Dealer Group 8,2016,4,17,,17574
Product 2,Dealer Group 8,2016,4,17,,2845
Product 4,Dealer Group 7,2016,4,17,,0
Product 2,Dealer Group 7,2016,4,17,,1223
Product 4,Dealer Group 4,2016,4,17,,10
Product 3,Dealer Group 7,2016,4,17,,1239
Product 4,Dealer Group 2,2016,4,17,,38
Product 1,Dealer Group 1,2016,4,17,,0
Product 4,Dealer Group 1,2016,4,17,,221
Product 5,Dealer Group 2,2016,4,17,,1757
Product 3,Dealer Group 4,2016,4,17,,38
Product 6,Dealer Group 2,2016,4,17,,1624
Product 5,Dealer Group 8,2016,5,18,,17265
Product 3,Dealer Group 6,2016,5,18,,130
Product 6,Dealer Group 1,2016,5,18,,935
Product 6,Dealer Group 2,2016,5,18,,1857
Product 2,Dealer Group 2,2016,5,18,,2346
Product 4,Dealer Group 6,2016,5,18,,82
Product 5,Dealer Group 4,2016,5,18,,86
Product 3,Dealer Group 1,2016,5,18,,1716
Product 2,Dealer Group 8,2016,5,18,,2770
Product 4,Dealer Group 1,2016,5,18,,189
Product 2,Dealer Group 4,2016,5,18,,5
Product 6,Dealer Group 5,2016,5,18,,0
Product 3,Dealer Group 7,2016,5,18,,572
Product 6,Dealer Group 7,2016,5,18,,1258
Product 5,Dealer Group 7,2016,5,18,,2189
Product 6,Dealer Group 4,2016,5,18,,71
Product 3,Dealer Group 4,2016,5,18,,33
Product 5,Dealer Group 2,2016,5,18,,1937
Product 6,Dealer Group 8,2016,5,18,,6605
Product 2,Dealer Group 6,2016,5,18,,155
Product 5,Dealer Group 6,2016,5,18,,167
Product 4,Dealer Group 8,2016,5,18,,80
Product 4,Dealer Group 7,2016,5,18,,0
Product 5,Dealer Group 5,2016,5,18,,0
Product 2,Dealer Group 7,2016,5,18,,777
Product 3,Dealer Group 8,2016,5,18,,3302
Product 4,Dealer Group 2,2016,5,18,,39
Product 3,Dealer Group 2,2016,5,18,,2628
Product 1,Dealer Group 1,2016,5,18,,0
Product 2,Dealer Group 1,2016,5,18,,247
Product 5,Dealer Group 1,2016,5,18,,2
Product 4,Dealer Group 4,2016,5,18,,10
Product 6,Dealer Group 6,2016,5,18,,45
Product 4,Dealer Group 1,2016,5,19,,201
Product 4,Dealer Group 7,2016,5,19,,0
Product 2,Dealer Group 6,2016,5,19,,109
Product 5,Dealer Group 1,2016,5,19,,7
Product 4,Dealer Group 4,2016,5,19,,16
Product 3,Dealer Group 8,2016,5,19,,2948
Product 5,Dealer Group 5,2016,5,19,,0
Product 6,Dealer Group 6,2016,5,19,,38
Product 5,Dealer Group 2,2016,5,19,,1828
Product 3,Dealer Group 7,2016,5,19,,545
Product 5,Dealer Group 8,2016,5,19,,14962
Product 5,Dealer Group 6,2016,5,19,,91
Product 6,Dealer Group 5,2016,5,19,,0
Product 4,Dealer Group 6,2016,5,19,,54
Product 5,Dealer Group 7,2016,5,19,,1949
Product 2,Dealer Group 1,2016,5,19,,201
Product 6,Dealer Group 1,2016,5,19,,1497
Product 2,Dealer Group 8,2016,5,19,,2592
Product 1,Dealer Group 1,2016,5,19,,0
Product 6,Dealer Group 7,2016,5,19,,1106
Product 6,Dealer Group 2,2016,5,19,,1504
Product 3,Dealer Group 6,2016,5,19,,91
Product 4,Dealer Group 8,2016,5,19,,414
Product 3,Dealer Group 1,2016,5,19,,1220
Product 5,Dealer Group 4,2016,5,19,,101
Product 2,Dealer Group 2,2016,5,19,,2172
Product 4,Dealer Group 2,2016,5,19,,53
Product 3,Dealer Group 4,2016,5,19,,42
Product 6,Dealer Group 8,2016,5,19,,5300
Product 3,Dealer Group 2,2016,5,19,,2523
Product 2,Dealer Group 4,2016,5,19,,5
Product 2,Dealer Group 7,2016,5,19,,760
Product 6,Dealer Group 4,2016,5,19,,52
Product 3,Dealer Group 2,2016,5,20,,2366
Product 4,Dealer Group 2,2016,5,20,,59
Product 5,Dealer Group 4,2016,5,20,,96
Product 6,Dealer Group 8,2016,5,20,,5954
Product 5,Dealer Group 2,2016,5,20,,1706
Product 2,Dealer Group 2,2016,5,20,,2369
Product 6,Dealer Group 4,2016,5,20,,87
Product 4,Dealer Group 4,2016,5,20,,28
Product 3,Dealer Group 1,2016,5,20,,1119
Product 2,Dealer Group 7,2016,5,20,,1034
Product 4,Dealer Group 6,2016,5,20,,45
Product 2,Dealer Group 8,2016,5,20,,2494
Product 5,Dealer Group 8,2016,5,20,,16086
Product 3,Dealer Group 6,2016,5,20,,156
Product 6,Dealer Group 5,2016,5,20,,0
Product 6,Dealer Group 7,2016,5,20,,1094
Product 5,Dealer Group 1,2016,5,20,,2
Product 5,Dealer Group 7,2016,5,20,,1981
Product 3,Dealer Group 7,2016,5,20,,584
Product 1,Dealer Group 1,2016,5,20,,0
Product 2,Dealer Group 4,2016,5,20,,5
Product 2,Dealer Group 6,2016,5,20,,274
Product 2,Dealer Group 1,2016,5,20,,204
Product 4,Dealer Group 8,2016,5,20,,285
Product 6,Dealer Group 6,2016,5,20,,38
